,0
83,"내가 이거 피해 없을거라고 했던 댓글에 비추만 수십 개 박아놨더라?

이제는 기사보다 내 댓글을 더 믿어라!"
84,"중국은 이미 민가에 떨어뜨린 전력이 있다. 잔해는 당연히 바다에 떨어질 확률이 높지. 하지만 그건 확률이다. 그게 뭔 소린지 아냐? 뭐가 문제인지, 왜 그런 문제가 발생했는지 같은 거 기사를 보고도 알지 못하는 이해력을 가진 인간들이 댓글은 왜 다냐?"
85,설마 격추나 방해전파로 떨어진것은 아니겠지.
86,중국에 13억중에 난다긴다하는 사람들이  모여  작전한거다...한국이랑같겠냐?   한국에도  떨어질수  있다고....하여간 개소리들만
87,중국도 소멸했으면 좋겠다
88,대기권 소멸
89,잘못한거보다 몇배는 욕먹는거ㅡ미국 입에 놀아나는것 같은느낌
90,중국 관련해서는  좋은기사를 본적이 없네...니들은 존재가 악이냐?
91,"중국? 시진핑??

수고했어~~~

덕분에 전세계가 반중 하나로 똘똘 뭉치네?ㅋㅋ

앞으로 수고 좀 더해줘 알았지??

그리고 니네 전기 필요없잖아?

화력발전소 좀 꺼!! 동해안에 있는거

공장도 다 끄고 예전처럼 그냥 농사짓고 살어

우리 숨 좀 쉬고 살자 이 화상들아~~~!!!!!

그리고 한반도 접근금지~~!!!!!!!!!"
92,"인도양 상에서 녹아버렸다잖는가?
전문가들은 이미 상공에서 녹을것을 다알고 있었을텐데,애초부터 왜 호들갑을 떨었는가?
야비한 정치적 망동이다.
미국 및 서방 위성은 안떨어지나?
수도 없이 떨어질텐데 그때 조용하고,유독 러시아,중국 꺼 떨어지면 뭔일이나 난듯 자지러질듯이 짖어대지.
이런 유치한 짓에 부화뇌동하는 자는 바보 아닌가?"
93,"중국놈들 인도를 타겟으로 잡았다가
몰디브 해역으로 떨어진듯.."
94,다뒤져라
95,"주사파들의 강간사건

부산 여성 가슴  성추행 ▓국민의힘 김대군

동생부인 성폭행▓국민의힘 김형태

여기자 허벅지 주물 성추행█국민의힘 김무성

여학생 강간미수 ▓국민의힘 정석래

대구여성  강제 성폭행 ▓국민의힘 심학봉 

미성년자  강간 의혹 █국민의힘 태영호

50대여성 성추행█국민의힘 서장원

여직원  성추행█국민의힘 박계동

여성 성접대 사건 ▓국민의힘 정인봉

20대 여성 성추행█국민의힘 박희태

여성 가슴더듬 성추행█국민의힘 최연희

여직원 엉덩이 더듬 █국민의힘 윤창중"
96,직경이 31메타?? 엄청나군  미국우주왕복선보다 휠씬 크군
97,그 우주선 파편이 미국이나 인도(인디아)로 떨어졌다면 3차세계대전이 시작되는데 안타깝군.
98,"대한민국 피해간 중국로켓 잔해도

중국몽  함께 외친

문재인 대통령님의 업적입니다..

문천지 무뇌 광신도 우동사리들 만세다 

ㅎㅎㅎㅎㅎ"
99,"떨어진 고철은 누구꺼임??
아무나 가지면 주인되는거임??
엿 바까 무글라꼬~~"
100,만일 중국이 대만 먹으면 한국도 큰일난다.
101,"중국을 춘추전국시대로 돌려놔야
딴 생각 안 품지
인류의 트러블메이커 중국"
102,"주쿡놈들이 한국기술. 백껴서 군사강국됀거야
중국놈들 때문에 통일도못하고있지"
103,중국이 대만 TSMC가 탐이 나긴 한 모양이다. 집어 삼키면 중국이 세계 1위 반도체 국가 됨 ㅎㄷㄷ
104,"이제는  중국의 군사력을  한번 파괴하고 갈 때가. 
 되었다. 더 이상 미룰수 없다."
105,"박원순 성희롱 만이나 할까봐요.
그렇게 청렴하다 면서  서울시장 3,번씩이나 하면서."
106,"서울 부산 충청  성추행자살당  
더불어터진미투내로남불당
자살 간빵간  성호소인당"
107,"위구르,,   티벗은  어쩌시고 ?"
108,"대만은 애초에 중국 영토였는데 1895년 청나라가 청일전쟁에서 일본에 패하면서 
할양해줬으나 일본이 2차대전 패배로 중화민국으로 반환되어 오늘에 이른다  
침략은 무슨 침략이냐 고토회복으로 봐야한다."
109,"강간부대 대깨닭

대구여성  강제 성폭행 ▓국민의힘 심학봉 

여학생 강간미수 ▓국민의힘 정석래

동생부인 성폭행▓국민의힘 김형태

여기자 허벅지 주물 성추행█국민의힘 김무성

여직원 엉덩이 더듬 █국민의힘 윤창중

20대 여성 성추행█국민의힘 박희태

10대 여자아이  강간 의혹 █국민의힘 태영호

50대여성 성추행█국민의힘 서장원

여성 가슴더듬 성추행█국민의힘 최연희

여성 성접대 사건 ▓국민의힘 정인봉

여직원  성추행█국민의힘 박계동

부산여성 가슴  성추행 ▓국민의힘 김대군"
110,어떤놈이건간에 시노팜 입에라도 올리면 진짜 칼들고 집앞에서 죽치고있을거니까 그런줄 알아라
111,기레기들 중국산 안 가져 온다고 난리쳐야지  가져오면 중국산 가져왔다고 또 난리치고
112,효과 쓰레기인 중공백신 들려오려고 수작부리는 중공스파이 정차인과 매국노놈들은 사형에 처해야한다
113,"중국산을 누가 맞겠나?
그 돈 문제는 누가 책임질꺼야?"
114,"WHO 를  WTO  라고 읽어야 하니??
기레기야!!!"
115,정부 말 안듣는 수꼴베충이들한테 한해서 시노팜 시노백 투여해야한다고 강력히 주장하는 바다
116,"그래서 언제 맞는데요  말만충분한 양이   있다하고만하고 
계획은 없네요?  구라인가?"
117,"중공 쓰레기바이러스백신 들여 오는 순간
문재인정권 몰락한다"
118,"기레기 중공백신 수입하라고
만약 수입한다면 또 그걸로 깔려고
그리고 백신이 더 필요하면 국내에서 생산하는 러시아 백신쓰지 효과도없는 중공산 쓰겠냐"
119,잔머리굴리네 조금있으면 중국산 수입 할려고 밑밥깔고있네 수법 뻔하다
120,미국의 압력에 용기도 못낼 듯
121,"작년 코로나 터지고부터

WHO보다 우리정부가

더 투명하고 신뢰도가 높았어

물량 충분한데 중국걸 왜 쓰나

부족해도 중국건 안써야지"
122,뉴시스 이거 미친거 아냐 다른것도 아니고 중국 백신 안 산다고 때리는 기사를 쓰냐
123,"WTO, WHO 구분도 못하는 무식한 기레기"
124,"메이드인 차이나!
명성을 잃지 않음-ㅋ"
125,"우리나라에 떨어진다고 호들갑들
떨기전에 기술발전이나 하자
까지 말고"
126,"서울로 떨어진다고
나불대던
기레기 어디갔지?"
127,다음엔 중국 본토에...
128,서울에 떨어질 수도 있다고 클릭 장사하는 언론
129,핑핑이한테 떨어졌어야 됐는데ㅋㅋㅋ
130,미국에 떨어졌으면 진짜 중국 오줌지릴듯
131,중국에 떨어져야했는데
132,나쁜중국놈
133,글로벌 민폐국은 중국과 일본인데 대한민국의 민폐 집단은 쪽짐당 무리이다.
134,"우리나라도 아니고
다른나라에서도 피해 없어 다행입니다
바다에 떨어져서"
135,중국이 성장하는 모습이 무섭다
136,"이게 뭔 기사냐 ?

내용이 없잖아 ?"
137,자국 조선업 살리려고 고철배를 막 찍어내면 수리비가 더들지
138,코로나  주범이  중국이었는가베
139,중국놈들 그래서 우한 바이러스 퍼뜨린거 아니야? 그러고도 남을 놈들이다!! 철저히 파해쳐 피해보상 청구하라!!
140,이래서  민폐국가..중국은 앞으로 더 조심..
141,중공은 그러고도 남을나라이다
142,중국은 진짜 없애버려여할 나라
143,지구에서 없어져야 할 나라
144,중국과 단교하자
145,"미국이중국포위할려고하는
이유가다있네"
146,백신정보가 그래서 중국에 흘러가면 안되는것
147,만약 이것이 사실이면 중국은 온세계가 힘을 모아 말살시키고 이 뉴스가 거짓이면 온 국민이 힘을모아 망하게 해야한다.
148,우한폐렴 생화학 무기인거 모르는 사람도있나?
149,우한 바이러스 ~~~~!
150,중국답다 세계적으로 사과는 못할망정
151,"""인민해방군(PLA) 과학자들이 2015년, 3차 세계대전이 생물학 무기로 치러질 것을 예측해 사스·코로나바이러스의 무기화를 논의했다는 내용이 .."" 코로나 관련 연구가 논문에 실린 것도 2015년이니 당시 우한바이러스 연구소가 인문해방군의 연구비를 받아서 연구수행을 한 것은 맞는 것 같습니다. 결국 2019년 10월 2주간 우한바이러스 연구소 특정지역내 2주간 전혀 전파가 잡히지 않았다는 미국 보고와도 맞아 떨어지는 부분이고요. 실제로 잠복기를 고려하면 첫환자 발생시기와도 모두 맞아 떨어집니다..코로나 유전자 추적도 우한이고요."
152,"무기는 적군만 죽여야지. 아군도 같이 죽어나가니 ,멍청하기 짝이 없다."
153,"그러게 중국의 3대 발명품이
코로나바이러스, 변종바이러스, 사람잡는 백신이라 하는데"
154,그나마 인명피해가 없어서 다행이네요
155,이래서 일론 머스크가 대단한거에요 우주 쓰레기를 만들지않고 그래도 돌아오게 만듬
156,연합뉴스는 국민들을 겁박하고 겁먹게하고 나라가 못살게 되기를 바라는 것 같아요.
157,기레기들을 우주로 쏘아서 우주선 낙하할때 어케하나 째험을
158,한반도 비껴간?  왜?  태양을 비껴갔다고하지. 기레기야
159,처음부터 한국엔 떨어지기 희박했는데 갑자기 분위기 조장하던 기레기들..
160,"중국아~~
실력 딸리고
능력  딸리면 제발 사고치지말고
잘난척 하지말고
잠자코 있어라
네들하는 꼴을 보면
미개하고 더럽고 
또 무슨 바이러스를 창출해
세계를 초토화 만들지
더는 못보겠다"
161,떨어진다고 불안감 조성하던 기레기와 그 추종자들
162,미국땅에 콱 처박히지
163,민폐 중국
164,50여년간 지구에 떨어진 5천여톤의 잔해가 모두 중국 발사체라는건가?
165,세금이 아깝다 ♬♪♩
166,"그리고  왜 이런 쓰레기 같은 글이
다음 1면 탑에 올라오니?
Ai가 너무 멍청한거니?
아님 AI 설계자나 운영자가 멍청한거니?"
167,"언론이 문재다
뭔 미리 호들값을 떠는지  기레기 조중동 연합 뉴시스 긍 ."
168,"제목봐라...
인도양이 한반도에 붙어있니?
기레기 수준이 낮은거니?
연합수준이 낮은거니?
안되면 지리를 공부해...
추잡스럽다..."
169,"사기꾼 이명박근혜순실 사형시켜라 

대구여성  강제 성폭행 ▓국민의힘 심학봉 

여학생 강간미수 ▓국민의힘 정석래

여성 가슴더듬 성추행█국민의힘 최연희

여성 성접대 사건 ▓국민의힘 정인봉

여직원  성추행█국민의힘 박계동

부산여성 가슴  성추행 ▓국민의힘 김대군

동생부인 성폭행▓국민의힘 김형태

여기자 허벅지 주물 성추행█국민의힘 김무성

여직원 엉덩이 더듬 █국민의힘 윤창중

20대 여성 성추행█국민의힘 박희태

10대 여자아이  강간 의혹 █국민의힘 태영호

50대여성 성추행█국민의힘 서장원"
170,"돈도 많은 나라가 중국산 백신을 왜써 그냥 식염수를 맞아라 
그게 더 정신건강에 이로울듯"
171,호환마마보다 무서운 중국산
172,중국이 원ㅇ흉이라면 who 사무총장은 중국을 돕는 앞잡이가 은 놈이다
173,짝퉁. 절대 믿으면 안되는 나라
174,중국산을 믿다니...
175,"아니꼽긴 하겠지 판데믹 원인이나 다름없는 중국이

진짜 거저먹는거나 다름없잖아 솔직히 ㅋ

그렇다고 중국이 그거에대한 책임감을 느끼기를하냐

뭐를하냐 ㅋㅋㅋ 주변국에 온갖 패악질을 거듭하고

문화약탈까지하고있는데 미국의 속내니 음모니

잡소리 주절대봤자....미국 욕하보단 중국욕하는게

훨씬 많을거임"
176,생산가능업체를 많이지정해서 대량생산되도록하여 빠른시기에 전세계인이 맞도록 하자.그래야 변이도 덜생기지.변이계속되면 도로아미타불된다
177,강도  중국
178,"중국은 선진국의 기술을 훔치고 도둑질하는
사악한 국가다 잠시 경제적인 부흥을 가졌지만
올바르게  부를 형성하지 못한 그 댓가를 패망으로
쪽박찰 그시간은 곧 다가올것  전세계의 민폐국인걸
공산당들은 알길 바란다"
179,"중국이 기술독점하면 눈에 보인다
그거로 경제보복허는거
희토류처럼 기술독점하고 말안듣는 나라에 안팔믄 그나라는 의료대란 경제 대란으로 죽는겨
특히 한국 뭐 자원도 없고 수출로 먹구사는나라인데
원료나 기술 독점해버리고 금지시키면 북한꼴 나는게지"
180,"코로나 백신 특허 면제하면
중국이 핵심기술 거저 먹은뒤 
수단방법 안가리고 원료쟁탈전 한뒤,
백신 우위 점거한후
인류생명을 담보로
중국공산당 정권 중심의 사회주의 전체주의식 세계질서 재편하는 시나리오지.

중공 말에 복종 않으면 백신 안주는거지.
국제기구나 국제사회에서 어떻게 은혜를 배반하며 그럴수 있냐고 물으면?
원래 중공은 우한 코로나 발생때도,
중국 인권탄압 문제에.대해서도,
국제사회 제지에 흥~ 하며 개무시하는 집단 아닌가?
파룬궁 모함.강제생체장기적출~
장기이식 돈벌이 위해 무고한 자국민 산체로 배가르는 중공이 뭔들 못해?"
181,"중국국기 들고있는놈 봐라
세상에서 제일 무식하고
파렴치한 종족의 표본이다"
182,"유럽엽합과 화이자에 말이 맞습니다.

국제사회가 백신 특허 면제를 하고 싶어도

중국때문에 꺼릴 수 밖에 없다는 현실

중국은 우월사상에 빠져 자신들이 전세계 최대 강대국이기를

원하지만 공산국가는 전세계와 교류하면 안되는겁니다.

전세계 산업스파이가 가장 많은 나라가 중국

비겁하게 경쟁을 한다.

잘못된 나라라고 증명하는 이유

화웨이가 주식시장에 상장을 하지 않는 이유??

세계 금융자본이 들어 오는 것을 거부한다.

얼마전 마윈 국가라는 명분으로 털린거보세요.

민주사회 였다면 벌써 김앤장 변호사 선임"
183,"남로당 빨갱이 박정희 박상희

대구여성  강제 성폭행 ▓국민의힘 심학봉 

10대 여자아이  강간 의혹 █국민의힘 태영호

50대여성 성추행█국민의힘 서장원

여학생 강간미수 ▓국민의힘 정석래

여성 가슴더듬 성추행█국민의힘 최연희

여성 성접대 사건 ▓국민의힘 정인봉

여직원  성추행█국민의힘 박계동

부산여성 가슴  성추행 ▓국민의힘 김대군

동생부인 성폭행▓국민의힘 김형태

여기자 허벅지 주물 성추행█국민의힘 김무성

여직원 엉덩이 더듬 █국민의힘 윤창중

20대 여성 성추행█국민의힘 박희태"
184,22톤이 완전히 소멸한다고? 2톤도 아닌 22톤이?
185,망해라 중국..
186,"선무당이 사람 잡는다는 말은 딱 중공에 어울리네.
중공은 그냥 청나라 시절 농업국가로 돌아갔어야 하는데..."
187,중국 망해라
188,진짜 책임감 없다...중국..
189,중국으로  가라아아아앗!!!
190,"결자해지 했으면...
다시 중국으로!"
191,중국건은 무조건 싫어 안맞는다
192,"우한에서 바이러스 실험하면서...
백신,치료제 도 실험햇겟지"
193,"중공 인민들 부터 접종하거라 
우한폐렴 원산지부터 우선이고 북한 백돼지혈통에도 접종해주고 
더듬당 문재인 추종자들은 차이나 좋아라한다"
194,"중국 백신 기사 며칠 전부터 자주 나오던데,
이거 이러다가 우리나라 국민들도 맞아야 하는 상황 되는 건 아닌지 걱정이네."
195,"내가 일본을 욕하는 이유는 대한민국 국민이기 때문이고.
중공을 욕하는 이유는 인간 이기 때문이다."
196,문재인이랑 청와대만 맞는걸로 하자
197,중국백신은- 조선족 맞으라고해라.
198,메이드인 차이나... 그이름에 걸 명예가 있기나 하나?
199,전세계 민폐국 중공의 백신은 맞고 싶지 않다
200,"테워드로스 아드하놈 거브러여수스 WHO 사무총장은 이런자을 사무총장이라고 합니다
임상실험 자료도 없는 시노팜을 허가해주다니
서진핑 뇌물이 통했나"
201,사서 들여오기만 해봐
202,"중공 빨아대는 K대깨ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
중국 공산당의 고정간첩들이냐???
일본 원숭이들이 쓰레기지만 
중공 좋아하는 대깨들이 진정한 매국노들이여ㅋㅋㅋㅋㅋㅋ"
203,"중국백신은 No No No

중국몽을 꿈꾸고 있다는 청와대 간신들만 중국백신 맞는 걸로 Ok?"
204,"WHO  또 중국 로비에  넘어간거냐 ?
만약  돈에 넘어가   승인  해 준거면 
니네 WHO는  쓰레기다"
205,중국의 통계. 누가 믿나?
206,음.. 중국이니까 저 숫자에 100정도 곱하면 되죠? ㅋㅋ
207,"중국도 내년 동계올림픽땜에 계속 통제하는듯,,,,"
208,중국사람들말을못믿어 어디서뻥치고있냐?  세균덩어리들아
209,"코로나 걸려보니 대개 증세가 감기만도 못하고
사람이 워낙  많으니까
죽는놈 죽고 사는놈 살고 자연에 맡기고
마스크도 안쓰고 검사도 전혀 안하는 듯
어쩌면 이 자연에 맡기는 방법이 정답일 수도 있다."
210,중국 선전을 믿냐
211,중국19감연자 만리....
212,감염자나 사망자가 엄청 많을텐데 어떻게 언론통제를하길래 이런기사만 나오고 조용한지 신기하긴 신기하다.
213,집계자체를 아예 안하것지!
214,"중국 클라스
10억명  모두  쿵푸로  단련된  신선들이라
코로나가  코로들어가   방귀로   빠져  안걸림
ㅋ"
215,너                    저말을  믿냐?
216,기가찰 노릇 뻥도 적당히 쳐야지 ㅋㅋㅋㅋ 로켓떨어지는거 푸우집에 떨어짐 정말 좋겠네
217,"중공 애들 말을 어떻게 믿냐?
그냥 무시가 답이다..."
218,그냥 검사 안 한 것은 아니고?
219,꺼져 중국
220,세계에세 없어져야할 국가 중의 하나....
221,"다른건 몰라도 중공의 물량공세는 무시할수가 없다
우린 수천년전부터 중공족들에게 전투에서 이겨도
중공족이 끊임없는 인적자원과 물적자원으로
소모전으로 나가면 엄청 힘들었지
고조선도 그랬고 고구려도 그랬고 
6.25전쟁 때도 그랬고
중공은 언젠가 한국과 군사적으로 충돌할 가능성이
높은 잠재적국"
222,"실속없는 허구 군대
실전투 하면 개박살"
223,"박수찬이 너 내가 맨날 물어보자나
군대 갔다왔냐? 방위냐?
너 방위 출신이지?"
224,"미래 핵전쟁은 피할수 없겠군.   다들 아니라지만, 인류는 결국 핵재앙으로 부터 벗어날수 없을거다.  지구 온난화보다 핵전쟁으로 인한 멸망이 더 빠를듯"
225,중공망하는거 보고싶다
226,공부 더하고 쓰든가.그만두든가.
227,원래 겁많은 개들이 더 크게 짖는다 한대 맞기 전까진..
228,"이건 ... 아니쥐
돈 아껴서
코로나 피해 구상금 줘야지"
229,우리도 핵전략잠수함 건조30기 시급하다.
230,중국은 전세계에서 가장 미움 받는 나라
231,"짱나는 개들은 빨리 50개로 쪼개지길 한국말 쓰는 조선족들이 댓글 테러하는것도 보기싫고 드라마나 광고에 바퀴벌레 족속들 넘쳐나는 것도 보기싫다 제발 한국에서 사라져라!!!

중국박멸!!!! 위구르 티벳 몽골 대만 홍콩 다 독립하자. 동포같은 개소리 집어치우고 연변족으로 독립이나 해버려라

내가 이 글 쓰고 다음클린 20개 받아봤다
지네  나라에서  댓글도 못 다는 것들이

习近平领导的反对独裁""的演讲用韩文写的好听了。 现在是付诸行动的时候了。 

시진핑의 독재에 반대한다는 내용의 한글로 쓴 연설 잘 들었어. 이제는 행동으로 옮길 때야"
232,"중국 공산당은 반도체 회사 밀어주는데
기업인 깜빵 넣는건 중공을 이롭게하는 간첩들이냐"
233,"기술도둑질,특허도둑질,역사도둑질,북한자원도둑질,  할줄 아는건 도둑질뿐인 양아치 국가를  구소련 처럼 분리 독립 시켜야 한다~"
234,"문화혁명때 지부모를 죽창으로 찔러죽인 애들이

자기 자식들은 애지중지 키운다

중국을 말아먹은 모택동을 21세기에도 칭송한다 코메디 공산당이다"
235,기레기 그전 ㅈ트럼프   중국  공격할따는 박수 치 더니
236,"중국 한데 어떻게 지구촌 이 당할지
아무도 예측을 못한다
중국 우한 코로나19  바이러스  한데
멋지게 당하고 있다
다음은 산업이다.
자본주위  세력이 이 총력을 다해 중국을  못잡으면
재앙이 온다"
237,"중국이 수입을 80%을 한다면

삼성의 반도체도 대부분 중국으로 간다는 것인제

삼성은 왜 안까냐????

기사를 어찌 이리 지들 입맛에 맞게만 쓰냐?

기자들 욕먹는 이유가 있다."
238,몇일후 삼성  SK  직원몇명 행방불명되겟군 ㅡ
239,"골   때리는게  힌국산 자동차 수출해서  
벌어들이는  돈보다  외제 수입차들이
국내서 벌어가는 돈이 더  많다는  사실"
240,"중국은 저가 노동력 대량생산, 기술복제로 독과점을 만들면 원청기업 뒤통수 치는 전략 이다
하청기업은 다국적화하고 만약을 대비한 국내기업은 유지시켜야 한다."
241,중국은 정말 딜레마다. 버리기엔 너무 크고 안버리기엔 너무 무식한데다 미국이 무섭고...그러니 우리가 강해져야 한다.
242,"중국 큰일이네요
역사상 중국이랑 엮여서 잘된일 없음
결국 북한도 중국에게
백두산 바쳤잖아요"
243,제대로 된 분석은 없고 그저 짜집기에 호들값.
244,뭐 시간문제이긴 하지만 중국이 막대한 돈 써도 수율이 아직은 안좋아서...... 반도체가 주력인 우리나라는 당연히 중국을 비판적으로경계해야하는거고
245,"이제 모든 분야에서 중국색을 빼세요

그게 살아남는 길이에요

중국 무너졌을 때 바로 치고들어갈 수도 있고..."
246,ㅋㅋㅋ 중국 자본을 받아들인다는건 사채를 끌어다 쓰는거나 다름없다 ㅋㅋㅋㅋㅋ
